ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_UTI_1,6,12,20
1_GAR_1,19,1_DRE_2,5,12,10
1_BAT_1,4,1_LAU_1,10,0,15
1_BAT_1,4,1_DRE_1,5,0,9
1_BAT_1,4,1_BED_2,2,0,3
1_LIV_1,1,1_KIT_1,3,16,14
1_LIV_1,1,1_HAL_1,8,16,13
1_LIV_1,1,1_FOY_1,0,16,11
1_LIV_1,1,1_STA_1,7,16,19
1_LIV_1,1,1_POR_2,18,16,18
1_POR_1,18,1_FOY_1,0,17,11
1_BED_1,2,1_CLO_3,11,2,7
1_BED_1,2,1_STA_1,7,2,19
1_UTI_1,6,1_GAR_1,19,20,12
1_BED_2,2,1_BAT_1,4,3,0
1_BED_2,2,1_HAL_1,8,3,13
1_POR_2,18,1_LIV_1,1,18,16
1_KIT_1,3,1_LIV_1,1,14,16
1_KIT_1,3,1_HAL_1,8,14,13
1_BED_3,2,1_CLO_4,11,4,8
1_BED_3,2,1_STA_1,7,4,19
1_BAT_2,4,1_CLO_1,11,1,5
1_BAT_2,4,1_STA_1,7,1,19
1_HAL_1,8,1_LIV_1,1,13,16
1_HAL_1,8,1_KIT_1,3,13,14
1_HAL_1,8,1_BED_2,2,13,3
1_HAL_1,8,1_DRE_2,5,13,10
1_CLO_1,11,1_BAT_2,4,5,1
1_STA_1,7,1_BED_1,2,19,2
1_STA_1,7,1_BED_3,2,19,4
1_STA_1,7,1_BAT_2,4,19,1
1_STA_1,7,1_LIV_1,1,19,16
1_LAU_1,10,1_BAT_1,4,15,0
1_CLO_2,11,1_FOY_1,0,6,11
1_CLO_3,11,1_BED_1,2,7,2
1_DRE_1,5,1_BAT_1,4,9,0
1_DRE_2,5,1_GAR_1,19,10,12
1_DRE_2,5,1_HAL_1,8,10,13
1_FOY_1,0,1_LIV_1,1,11,16
1_FOY_1,0,1_CLO_2,11,11,6
1_FOY_1,0,1_POR_1,18,11,17
1_CLO_4,11,1_BED_3,2,8,4
