ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
2_BAT_1,4,2_DRE_1,5,0,5
2_BAT_1,4,2_STA_1,7,0,9
2_HAL_1,8,2_LAU_1,10,7,8
2_HAL_1,8,2_BED_1,2,7,2
2_HAL_1,8,2_STA_1,7,7,9
2_HAL_1,8,2_BAT_2,4,7,1
2_DRE_1,5,2_CLO_2,11,5,4
2_DRE_1,5,2_BAT_1,4,5,0
2_BED_1,2,2_HAL_1,8,2,7
2_BED_1,2,2_DRE_2,5,2,6
2_CLO_1,11,2_LAU_1,10,3,8
2_DRE_2,5,2_BED_1,2,6,2
2_DRE_2,5,2_BAT_2,4,6,1
2_BAT_2,4,2_DRE_2,5,1,6
2_BAT_2,4,2_HAL_1,8,1,7
2_CLO_2,11,2_DRE_1,5,4,5
2_STA_1,7,2_BAT_1,4,9,0
2_STA_1,7,2_HAL_1,8,9,7
2_LAU_1,10,2_CLO_1,11,8,3
2_LAU_1,10,2_HAL_1,8,8,7
