ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_DIN_1,20,1_LIV_1,1,2,6
1_DIN_1,20,1_HAL_1,8,2,4
1_LIV_1,1,1_KIT_1,3,6,5
1_LIV_1,1,1_HAL_1,8,6,4
1_LIV_1,1,1_CLO_1,11,6,1
1_LIV_1,1,1_PAN_1,9,6,7
1_LIV_1,1,1_STA_2,7,6,10
1_LIV_1,1,1_DIN_1,20,6,2
1_LIV_1,1,1_GAR_1,19,6,3
1_LIV_1,1,1_POR_1,18,6,8
1_UTI_1,6,1_HAL_1,8,11,4
1_PAN_1,9,1_LIV_1,1,7,6
1_STA_1,7,1_UTI_3,6,9,13
1_KIT_1,3,1_LIV_1,1,5,6
1_POR_1,18,1_LIV_1,1,8,6
1_BAT_1,4,1_HAL_1,8,0,4
1_UTI_2,6,1_GAR_1,19,12,3
1_HAL_1,8,1_LIV_1,1,4,6
1_HAL_1,8,1_UTI_1,6,4,11
1_HAL_1,8,1_BAT_1,4,4,0
1_HAL_1,8,1_DIN_1,20,4,2
1_GAR_1,19,1_UTI_2,6,3,12
1_GAR_1,19,1_UTI_3,6,3,13
1_GAR_1,19,1_LIV_1,1,3,6
1_UTI_3,6,1_STA_1,7,13,9
1_UTI_3,6,1_GAR_1,19,13,3
1_STA_2,7,1_LIV_1,1,10,6
1_CLO_1,11,1_LIV_1,1,1,6
