ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_LIV_1,1,10,13
1_BAT_1,4,1_BED_2,2,0,3
1_KIT_1,3,1_LIV_1,1,12,13
1_BAT_2,4,1_HAL_1,8,1,11
1_BED_1,2,1_CLO_4,11,2,8
1_BED_1,2,1_HAL_1,8,2,11
1_BED_2,2,1_BAT_1,4,3,0
1_BED_2,2,1_LIV_1,1,3,13
1_BED_2,2,1_HAL_1,8,3,11
1_BED_2,2,1_CLO_5,11,3,9
1_BED_2,2,1_CLO_5,11,3,9
1_LIV_1,1,1_KIT_1,3,13,12
1_LIV_1,1,1_HAL_1,8,13,11
1_LIV_1,1,1_CLO_2,11,13,6
1_LIV_1,1,1_GAR_1,19,13,10
1_LIV_1,1,1_BED_2,2,13,3
1_CLO_1,11,1_HAL_1,8,5,11
1_CLO_2,11,1_LIV_1,1,6,13
1_CLO_3,11,1_BED_3,2,7,4
1_HAL_1,8,1_LIV_1,1,11,13
1_HAL_1,8,1_CLO_1,11,11,5
1_HAL_1,8,1_BAT_2,4,11,1
1_HAL_1,8,1_BED_1,2,11,2
1_HAL_1,8,1_BED_3,2,11,4
1_HAL_1,8,1_BED_2,2,11,3
1_CLO_4,11,1_BED_1,2,8,2
1_BED_3,2,1_CLO_3,11,4,7
1_BED_3,2,1_HAL_1,8,4,11
1_CLO_5,11,1_BED_2,2,9,3
1_CLO_5,11,1_BED_2,2,9,3
