ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_LAU_2,10,13,19
1_GAR_1,19,1_UTI_1,6,13,24
1_POR_1,18,1_HAL_2,8,22,15
1_HAL_1,8,1_LIV_1,1,14,20
1_HAL_1,8,1_CLO_1,11,14,6
1_HAL_1,8,1_CLO_2,11,14,7
1_HAL_1,8,1_BED_3,2,14,4
1_HAL_1,8,1_LIV_1,1,14,20
1_HAL_1,8,1_BAT_2,4,14,1
1_HAL_1,8,1_LIV_1,1,14,20
1_HAL_1,8,1_BED_1,2,14,2
1_HAL_1,8,1_BED_2,2,14,3
1_LIV_1,1,1_HAL_1,8,20,14
1_LIV_1,1,1_HAL_2,8,20,15
1_LIV_1,1,1_HAL_3,8,20,16
1_LIV_1,1,1_HAL_1,8,20,14
1_LIV_1,1,1_KIT_1,3,20,17
1_LIV_1,1,1_HAL_1,8,20,14
1_LAU_1,10,1_HAL_3,8,18,16
1_DRE_1,5,1_BED_3,2,9,4
1_HAL_2,8,1_LIV_1,1,15,20
1_HAL_2,8,1_POR_1,18,15,22
1_HAL_3,8,1_LIV_1,1,16,20
1_HAL_3,8,1_BED_4,2,16,5
1_HAL_3,8,1_LAU_1,10,16,18
1_DRE_2,5,1_BED_1,2,10,2
1_DRE_3,5,1_BAT_1,4,11,0
1_POR_2,18,1_KIT_1,3,23,17
1_BED_1,2,1_DRE_2,5,2,10
1_BED_1,2,1_HAL_1,8,2,14
1_PAN_1,9,1_LAU_2,10,21,19
1_BED_2,2,1_CLO_3,11,3,8
1_BED_2,2,1_HAL_1,8,3,14
1_KIT_1,3,1_LIV_1,1,17,20
1_KIT_1,3,1_LAU_2,10,17,19
1_KIT_1,3,1_POR_2,18,17,23
1_BED_3,2,1_DRE_1,5,4,9
1_BED_3,2,1_HAL_1,8,4,14
1_LAU_2,10,1_PAN_1,9,19,21
1_LAU_2,10,1_KIT_1,3,19,17
1_LAU_2,10,1_GAR_1,19,19,13
1_DRE_4,5,1_BAT_1,4,12,0
1_BED_4,2,1_BAT_1,4,5,0
1_BED_4,2,1_HAL_3,8,5,16
1_BAT_1,4,1_DRE_3,5,0,11
1_BAT_1,4,1_DRE_4,5,0,12
1_BAT_1,4,1_BED_4,2,0,5
1_BAT_2,4,1_HAL_1,8,1,14
1_UTI_1,6,1_GAR_1,19,24,13
1_CLO_1,11,1_HAL_1,8,6,14
1_CLO_2,11,1_HAL_1,8,7,14
1_CLO_3,11,1_BED_2,2,8,3
