ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_POR_1,18,1_KIT_2,3,10,3
1_POR_1,18,1_UTI_1,6,10,14
1_POR_2,18,1_KIT_1,3,11,2
1_POR_2,18,1_UTI_2,6,11,15
1_STA_1,7,1_BAT_1,4,12,0
1_STA_1,7,1_LAU_2,10,12,5
1_STA_1,7,1_LIV_2,1,12,7
1_STA_2,7,1_LAU_1,10,13,4
1_STA_2,7,1_BAT_2,4,13,1
1_STA_2,7,1_LIV_1,1,13,6
1_UTI_1,6,1_POR_1,18,14,10
1_LIV_1,1,1_KIT_2,3,6,3
1_LIV_1,1,1_PAN_2,9,6,9
1_LIV_1,1,1_STA_2,7,6,13
1_LIV_2,1,1_KIT_1,3,7,2
1_LIV_2,1,1_PAN_1,9,7,8
1_LIV_2,1,1_STA_1,7,7,12
1_PAN_1,9,1_LIV_2,1,8,7
1_KIT_1,3,1_LIV_2,1,2,7
1_KIT_1,3,1_POR_2,18,2,11
1_UTI_2,6,1_POR_2,18,15,11
1_BAT_1,4,1_STA_1,7,0,12
1_KIT_2,3,1_LIV_1,1,3,6
1_KIT_2,3,1_POR_1,18,3,10
1_LAU_1,10,1_STA_2,7,4,13
1_LAU_2,10,1_STA_1,7,5,12
1_PAN_2,9,1_LIV_1,1,9,6
1_BAT_2,4,1_STA_2,7,1,13
