ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_HAL_1,8,5,6
1_PAN_1,9,1_KIT_1,3,11,8
1_BAT_1,4,1_HAL_2,8,0,7
1_DRE_1,5,1_LIV_1,1,4,10
1_POR_1,18,1_LIV_1,1,12,10
1_HAL_1,8,1_LIV_1,1,6,10
1_HAL_1,8,1_CLO_3,11,6,3
1_HAL_1,8,1_GAR_1,19,6,5
1_HAL_1,8,1_STA_1,7,6,13
1_CLO_1,11,1_LIV_1,1,1,10
1_HAL_2,8,1_LIV_1,1,7,10
1_HAL_2,8,1_CLO_2,11,7,2
1_HAL_2,8,1_BAT_1,4,7,0
1_HAL_2,8,1_LAU_1,10,7,9
1_LIV_1,1,1_HAL_1,8,10,6
1_LIV_1,1,1_HAL_2,8,10,7
1_LIV_1,1,1_KIT_1,3,10,8
1_LIV_1,1,1_CLO_1,11,10,1
1_LIV_1,1,1_DRE_1,5,10,4
1_LIV_1,1,1_STA_1,7,10,13
1_LIV_1,1,1_POR_1,18,10,12
1_CLO_2,11,1_HAL_2,8,2,7
1_STA_1,7,1_LIV_1,1,13,10
1_STA_1,7,1_HAL_1,8,13,6
1_KIT_1,3,1_LIV_1,1,8,10
1_KIT_1,3,1_PAN_1,9,8,11
1_LAU_1,10,1_HAL_2,8,9,7
1_CLO_3,11,1_HAL_1,8,3,6
