ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_LAU_2,10,8,13
1_BED_1,2,1_HAL_1,8,2,9
1_BED_1,2,1_HAL_4,8,2,10
1_BED_2,2,1_CLO_3,11,3,6
1_BED_2,2,1_HAL_1,8,3,9
1_DRE_1,5,1_HAL_4,8,7,10
1_BAT_1,4,1_HAL_1,8,0,9
1_LIV_1,1,1_HAL_1,8,14,9
1_LIV_1,1,1_HAL_1,8,14,9
1_LIV_1,1,1_HAL_1,8,14,9
1_LIV_1,1,1_HAL_4,8,14,10
1_LIV_1,1,1_KIT_1,3,14,11
1_LIV_1,1,1_CLO_1,11,14,4
1_LIV_1,1,1_STA_1,7,14,17
1_LIV_1,1,1_POR_1,18,14,16
1_HAL_1,8,1_LIV_1,1,9,14
1_HAL_1,8,1_BAT_1,4,9,0
1_HAL_1,8,1_LAU_1,10,9,12
1_HAL_1,8,1_BED_1,2,9,2
1_HAL_1,8,1_LIV_1,1,9,14
1_HAL_1,8,1_BED_2,2,9,3
1_HAL_1,8,1_LIV_1,1,9,14
1_HAL_1,8,1_LAU_2,10,9,13
1_HAL_1,8,1_STA_1,7,9,17
1_POR_1,18,1_LIV_1,1,16,14
1_HAL_4,8,1_LIV_1,1,10,14
1_HAL_4,8,1_BAT_2,4,10,1
1_HAL_4,8,1_BED_1,2,10,2
1_HAL_4,8,1_DRE_1,5,10,7
1_HAL_4,8,1_CLO_2,11,10,5
1_PAN_1,9,1_KIT_1,3,15,11
1_STA_1,7,1_HAL_1,8,17,9
1_STA_1,7,1_LIV_1,1,17,14
1_KIT_1,3,1_LIV_1,1,11,14
1_KIT_1,3,1_PAN_1,9,11,15
1_BAT_2,4,1_HAL_4,8,1,10
1_LAU_1,10,1_HAL_1,8,12,9
1_CLO_1,11,1_LIV_1,1,4,14
1_LAU_2,10,1_GAR_1,19,13,8
1_LAU_2,10,1_HAL_1,8,13,9
1_CLO_2,11,1_HAL_4,8,5,10
1_CLO_3,11,1_BED_2,2,6,3
