ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_LAU_1,10,8,12
1_HAL_1,8,1_LIV_1,1,9,13
1_HAL_1,8,1_BED_2,2,9,3
1_HAL_1,8,1_LIV_1,1,9,13
1_HAL_1,8,1_LAU_1,10,9,12
1_BAT_1,4,1_BED_2,2,0,3
1_KIT_1,3,1_LIV_1,1,11,13
1_KIT_1,3,1_PAN_1,9,11,14
1_PAN_1,9,1_KIT_1,3,14,11
1_BAT_2,4,1_HAL_3,8,1,10
1_BED_1,2,1_CLO_1,11,2,4
1_BED_1,2,1_HAL_3,8,2,10
1_POR_1,18,1_HAL_3,8,15,10
1_BED_2,2,1_BAT_1,4,3,0
1_BED_2,2,1_DRE_1,5,3,7
1_BED_2,2,1_HAL_1,8,3,9
1_DRE_1,5,1_BED_2,2,7,3
1_LIV_1,1,1_HAL_1,8,13,9
1_LIV_1,1,1_KIT_1,3,13,11
1_LIV_1,1,1_HAL_1,8,13,9
1_LIV_1,1,1_HAL_3,8,13,10
1_LIV_1,1,1_HAL_3,8,13,10
1_HAL_3,8,1_LIV_1,1,10,13
1_HAL_3,8,1_POR_1,18,10,15
1_HAL_3,8,1_LIV_1,1,10,13
1_HAL_3,8,1_CLO_2,11,10,5
1_HAL_3,8,1_BAT_2,4,10,1
1_HAL_3,8,1_BED_1,2,10,2
1_LAU_1,10,1_CLO_3,11,12,6
1_LAU_1,10,1_GAR_1,19,12,8
1_LAU_1,10,1_HAL_1,8,12,9
1_CLO_1,11,1_BED_1,2,4,2
1_CLO_2,11,1_HAL_3,8,5,10
1_CLO_3,11,1_LAU_1,10,6,12
