ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_HAL_1,8,12,13
1_BED_1,2,1_HAL_4,8,3,15
1_HAL_1,8,1_LIV_1,1,13,18
1_HAL_1,8,1_LAU_1,10,13,17
1_HAL_1,8,1_GAR_1,19,13,12
1_HAL_1,8,1_LIV_1,1,13,18
1_HAL_1,8,1_CLO_2,11,13,7
1_HAL_1,8,1_BAT_1,4,13,0
1_BED_2,2,1_CLO_1,11,4,6
1_BED_2,2,1_HAL_4,8,4,15
1_LIV_1,1,1_HAL_1,8,18,13
1_LIV_1,1,1_HAL_2,8,18,14
1_LIV_1,1,1_KIT_1,3,18,16
1_LIV_1,1,1_HAL_1,8,18,13
1_LIV_1,1,1_HAL_4,8,18,15
1_LIV_1,1,1_HAL_4,8,18,15
1_LIV_1,1,1_HAL_4,8,18,15
1_BED_3,2,1_CLO_5,11,5,10
1_BED_3,2,1_HAL_4,8,5,15
1_BAT_1,4,1_HAL_1,8,0,13
1_HAL_2,8,1_LIV_1,1,14,18
1_HAL_2,8,1_CLO_4,11,14,9
1_HAL_2,8,1_STA_1,7,14,20
1_HAL_2,8,1_POR_1,18,14,19
1_BAT_2,4,1_DRE_1,5,1,11
1_KIT_1,3,1_LIV_1,1,16,18
1_POR_1,18,1_HAL_2,8,19,14
1_STA_1,7,1_HAL_2,8,20,14
1_DRE_1,5,1_BAT_2,4,11,1
1_HAL_4,8,1_LIV_1,1,15,18
1_HAL_4,8,1_LIV_1,1,15,18
1_HAL_4,8,1_BED_1,2,15,3
1_HAL_4,8,1_LIV_1,1,15,18
1_HAL_4,8,1_CLO_3,11,15,8
1_HAL_4,8,1_BAT_3,4,15,2
1_HAL_4,8,1_BED_2,2,15,4
1_HAL_4,8,1_BED_3,2,15,5
1_CLO_1,11,1_BED_2,2,6,4
1_CLO_2,11,1_HAL_1,8,7,13
1_CLO_3,11,1_HAL_4,8,8,15
1_LAU_1,10,1_HAL_1,8,17,13
1_CLO_4,11,1_HAL_2,8,9,14
1_BAT_3,4,1_HAL_4,8,2,15
1_CLO_5,11,1_BED_3,2,10,5
