ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_KIT_1,3,1_LIV_1,1,7,10
1_KIT_1,3,1_PAN_1,9,7,11
1_KIT_1,3,1_LAU_1,10,7,8
1_BED_1,2,1_BAT_2,4,2,1
1_BED_1,2,1_LIV_1,1,2,10
1_LIV_1,1,1_KIT_1,3,10,7
1_LIV_1,1,1_BED_1,2,10,2
1_LIV_1,1,1_BED_2,2,10,3
1_BAT_1,4,1_LAU_2,10,0,9
1_BAT_1,4,1_BED_2,2,0,3
1_BAT_1,4,1_LAU_1,10,0,8
1_BAT_1,4,1_LAU_1,10,0,8
1_LAU_1,10,1_CLO_1,11,8,4
1_LAU_1,10,1_KIT_1,3,8,7
1_LAU_1,10,1_BAT_1,4,8,0
1_LAU_1,10,1_BAT_1,4,8,0
1_BED_2,2,1_CLO_2,11,3,5
1_BED_2,2,1_BAT_1,4,3,0
1_BED_2,2,1_LIV_1,1,3,10
1_CLO_1,11,1_LAU_1,10,4,8
1_PAN_1,9,1_KIT_1,3,11,7
1_DRE_1,5,1_BAT_2,4,6,1
1_BAT_2,4,1_DRE_1,5,1,6
1_BAT_2,4,1_BED_1,2,1,2
1_LAU_2,10,1_BAT_1,4,9,0
1_CLO_2,11,1_BED_2,2,5,3
