ID,Label,Adj_ID,Adj_Label,ID_encode,Adj_ID_encode
1_GAR_1,19,1_HAL_2,8,9,11
1_GAR_1,19,1_POR_1,18,9,16
1_BED_1,2,1_CLO_1,11,3,6
1_BED_1,2,1_HAL_1,8,3,10
1_BED_2,2,1_HAL_2,8,4,11
1_BED_2,2,1_BAT_1,4,4,0
1_LIV_1,1,1_HAL_1,8,14,10
1_LIV_1,1,1_HAL_2,8,14,11
1_LIV_1,1,1_KIT_2,3,14,13
1_LIV_1,1,1_HAL_2,8,14,11
1_LIV_1,1,1_POR_2,18,14,17
1_LIV_1,1,1_POR_1,18,14,16
1_BAT_1,4,1_BED_2,2,0,4
1_BAT_1,4,1_DRE_1,5,0,8
1_HAL_1,8,1_LIV_1,1,10,14
1_HAL_1,8,1_BED_1,2,10,3
1_HAL_1,8,1_BAT_2,4,10,1
1_HAL_1,8,1_BED_3,2,10,5
1_KIT_1,3,1_STA_1,7,12,18
1_KIT_1,3,1_DRE_1,5,12,8
1_POR_1,18,1_GAR_1,19,16,9
1_POR_1,18,1_LIV_1,1,16,14
1_BAT_2,4,1_HAL_1,8,1,10
1_BED_3,2,1_CLO_2,11,5,7
1_BED_3,2,1_HAL_1,8,5,10
1_HAL_2,8,1_LIV_1,1,11,14
1_HAL_2,8,1_BAT_3,4,11,2
1_HAL_2,8,1_PAN_1,9,11,15
1_HAL_2,8,1_GAR_1,19,11,9
1_HAL_2,8,1_BED_2,2,11,4
1_HAL_2,8,1_STA_1,7,11,18
1_HAL_2,8,1_LIV_1,1,11,14
1_DRE_1,5,1_BAT_1,4,8,0
1_DRE_1,5,1_KIT_1,3,8,12
1_KIT_2,3,1_LIV_1,1,13,14
1_BAT_3,4,1_HAL_2,8,2,11
1_STA_1,7,1_KIT_1,3,18,12
1_STA_1,7,1_HAL_2,8,18,11
1_PAN_1,9,1_HAL_2,8,15,11
1_POR_2,18,1_LIV_1,1,17,14
1_CLO_1,11,1_BED_1,2,6,3
1_CLO_2,11,1_BED_3,2,7,5
